Ausar Thompson	steals, perimeter defense	three-point shooting, free-throw shooting
Derrick White	free-throw shooting	efficiency, rebounding
Franz Wagner	free-throw shooting, scoring	rim protection, shot blocking
Isaiah Hartenstein	finishing, efficiency, athleticism	three-point shooting, free-throw shooting
Jarrett Allen	efficiency, finishing, midrange	three-point shooting, playmaking
Josh Giddey	playmaking, passing	shot blocking, rim protection
Paolo Banchero	scoring	shot blocking, rim protection
Trae Young	playmaking, passing, free-throw shooting	rim protection, shot blocking
Zion Williamson	efficiency, scoring, finishing	three-point shooting, shot blocking
De'Aaron Fox	midrange, playmaking, passing	rim protection, shot blocking
Lauri Markkanen	free-throw shooting, scoring, midrange	shot blocking, rim protection
Rudy Gobert	efficiency, finishing, athleticism	three-point shooting, free-throw shooting
Trey Murphy III	free-throw shooting, scoring, midrange	rim protection, shot blocking
Kevin Porter Jr.	steals, free-throw shooting, playmaking	shot blocking, rim protection
Michael Porter Jr.	free-throw shooting, scoring, midrange	rim protection, shot blocking
Neemias Queta	efficiency, finishing, athleticism	three-point shooting, playmaking
Ty Jerome	three-point shooting, free-throw shooting, scoring	shot blocking, rim protection
Immanuel Quickley	free-throw shooting, three-point shooting	rim protection, shot blocking
Jalen Suggs	free-throw shooting, steals, perimeter defense	shot blocking
Josh Hart	three-point shooting, efficiency	shot blocking, rim protection
Julius Randle	scoring, free-throw shooting	shot blocking, rim protection
Kon Knueppel	three-point shooting, free-throw shooting, efficiency	rim protection, shot blocking
Mark Williams	efficiency, finishing, athleticism	playmaking, passing
Mitchell Robinson	efficiency, finishing, athleticism	three-point shooting, ball handling
Pascal Siakam	scoring	rim protection, shot blocking
Paul Reed	efficiency, finishing	three-point shooting, playmaking
Robert Williams	efficiency, finishing, interior defense	free-throw shooting, ball handling
Stephon Castle	playmaking, passing	rim protection, shot blocking
Alex Sarr	rim protection, shot blocking, interior defense	steals, efficiency
Brandon Miller	free-throw shooting, three-point shooting, scoring	shot blocking
Collin Gillespie	free-throw shooting, three-point shooting	rim protection, shot blocking
Cooper Flagg	free-throw shooting, scoring	three-point shooting
Desmond Bane	free-throw shooting, three-point shooting, scoring	shot blocking, rim protection
Dyson Daniels	perimeter defense, steals, finishing	shot blocking, rim protection
Kel'el Ware	efficiency, athleticism	playmaking, passing
Luke Kornet	efficiency, finishing, free-throw shooting	three-point shooting, steals
Moussa Diabaté	efficiency, finishing, athleticism	ball handling
Myles Turner	rim protection, three-point shooting, shot blocking	playmaking, passing
Nic Claxton	finishing	three-point shooting, free-throw shooting
Nikola Vučević	free-throw shooting, midrange	shot blocking, steals
OG Anunoby	three-point shooting, free-throw shooting, efficiency	shot blocking
Payton Pritchard	free-throw shooting, three-point shooting	rim protection, shot blocking
Tre Jones	efficiency, free-throw shooting, finishing	rim protection, shot blocking
Ajay Mitchell	free-throw shooting	shot blocking, rim protection
Cam Spencer	free-throw shooting, efficiency, three-point shooting	shot blocking, rim protection
Draymond Green	stamina, passing, playmaking	shot blocking, rim protection
Grayson Allen	free-throw shooting	rim protection, shot blocking
Jakob Poeltl	efficiency, finishing	three-point shooting, free-throw shooting
Jrue Holiday	free-throw shooting, passing, three-point shooting	rim protection, shot blocking
Jusuf Nurkić	rebounding	free-throw shooting, shot blocking
Keyonte George	free-throw shooting, scoring, three-point shooting	rim protection, shot blocking
Mikal Bridges	free-throw shooting, midrange	shot blocking, rebounding
Nickeil Alexander-Walker	free-throw shooting, three-point shooting, scoring	shot blocking, rim protection
Onyeka Okongwu	stamina, three-point shooting, midrange	ball handling, playmaking
Paul George	three-point shooting, free-throw shooting, steals	shot blocking, rim protection
Ryan Kalkbrenner	efficiency, finishing, rim protection	three-point shooting, ball handling
Sandro Mamukelashvili	efficiency, finishing	shot blocking, rim protection
Santi Aldama	stamina, midrange, scoring	shot blocking
Tristen Newton	three-point shooting	rim protection, shot blocking
Aaron Gordon	efficiency, three-point shooting	shot blocking, rim protection
Andrew Wiggins	three-point shooting	playmaking, passing
Brandon Ingram	free-throw shooting, scoring	shot blocking, rim protection
Daniel Gafford	efficiency, finishing, athleticism	three-point shooting, playmaking
Day'Ron Sharpe	finishing, efficiency	three-point shooting, shot blocking
Goga Bitadze	efficiency, finishing	three-point shooting, ball handling
Ivica Zubac	finishing, efficiency, rebounding	three-point shooting, steals
Ja Morant	free-throw shooting, playmaking, passing	rim protection, shot blocking
Miles Bridges	free-throw shooting	shot blocking, rim protection
Naz Reid	stamina, midrange, three-point shooting	playmaking, passing
Norman Powell	scoring, free-throw shooting, three-point shooting	rim protection, shot blocking
Ryan Rollins	three-point shooting, free-throw shooting	shot blocking, rim protection
T.J. McConnell	free-throw shooting, passing, playmaking	rim protection, shot blocking
Tobias Harris	free-throw shooting	shot blocking, rim protection
Tyler Herro	free-throw shooting, scoring, three-point shooting	rim protection, shot blocking
Al Horford	free-throw shooting	steals, ball handling
Alex Antetokounmpo	efficiency	steals, perimeter defense
Cason Wallace	perimeter defense, steals, free-throw shooting	shot blocking, rim protection
Collin Murray-Boyles	finishing, efficiency	ball handling, playmaking
Deandre Ayton	efficiency, finishing	three-point shooting, playmaking
DeMar DeRozan	free-throw shooting, scoring	shot blocking, rim protection
Dylan Harper	decision-making, midrange, finishing	shot blocking, rim protection
Isaiah Joe	free-throw shooting, efficiency, three-point shooting	rim protection, shot blocking
Jaime Jaquez Jr.	stamina, midrange, scoring	shot blocking, rim protection
Jaren Jackson Jr.	scoring, free-throw shooting	playmaking, decision-making
Jaylin Williams	free-throw shooting, three-point shooting, efficiency	steals
Jordan Goodwin	steals, perimeter defense	rim protection, shot blocking
Kristaps Porziņģis	free-throw shooting	steals
Luka Garza	efficiency, finishing	steals, playmaking
Marvin Bagley III	efficiency, finishing	steals, free-throw shooting
Matisse Thybulle	steals, perimeter defense, free-throw shooting	playmaking, ball handling
Norchad Omier	free-throw shooting, efficiency, finishing	rim protection, shot blocking
Obi Toppin	free-throw shooting, efficiency, finishing	rim protection, shot blocking
RJ Barrett	scoring, midrange	shot blocking, rim protection
Saddiq Bey	free-throw shooting	rim protection, shot blocking
Walker Kessler	efficiency, finishing, athleticism	three-point shooting, decision-making
Andrew Nembhard	playmaking, passing, free-throw shooting	rim protection, shot blocking
Ayo Dosunmu	free-throw shooting, efficiency, three-point shooting	rim protection, shot blocking
Brandon Williams	free-throw shooting, midrange, scoring	shot blocking, rim protection
Charles Bassey	efficiency, finishing, free-throw shooting	three-point shooting, playmaking
Coby White	scoring, free-throw shooting	rim protection, shot blocking
Collin Sexton	three-point shooting, free-throw shooting, efficiency	shot blocking, rim protection
Craig Porter Jr.	decision-making, perimeter defense, passing	free-throw shooting, efficiency
David Jones García	perimeter defense, decision-making, basketball IQ	shot blocking, rim protection
Dejounte Murray	free-throw shooting, passing, playmaking	rim protection, shot blocking
Derik Queen	free-throw shooting	three-point shooting
Domantas Sabonis	rebounding, finishing, midrange	rim protection, shot blocking
Dru Smith	free-throw shooting, perimeter defense, steals	shot blocking, rim protection
Gary Payton II	finishing, efficiency	shot blocking, rim protection
Isaiah Stewart	efficiency, finishing, rim protection	steals, playmaking
Jaden Ivey	free-throw shooting, three-point shooting	shot blocking, rim protection
Jaden McDaniels	free-throw shooting, three-point shooting, efficiency	ball handling, playmaking
Jaxson Hayes	efficiency, finishing	steals, playmaking
Jerami Grant	three-point shooting, free-throw shooting, scoring	shot blocking, rim protection
John Collins	efficiency, finishing, three-point shooting	playmaking, passing
John Konchar	steals, perimeter defense, athleticism	three-point shooting, ball handling
Josh Minott	efficiency, three-point shooting, finishing	playmaking, passing
Kadary Richmond	free-throw shooting, efficiency, steals	shot blocking, rim protection
Matas Buzelis	midrange	steals
Royce O'Neale	three-point shooting	shot blocking, rim protection
Russell Westbrook	playmaking, passing	shot blocking, rim protection
VJ Edgecombe	free-throw shooting	shot blocking, rim protection
Wendell Carter Jr.	efficiency, finishing	shot blocking, rim protection
Zach Edey	efficiency, finishing, rim protection	three-point shooting, playmaking
Alex Caruso	perimeter defense, free-throw shooting, steals	shot blocking, rim protection
Andre Drummond	rebounding	ball handling, playmaking
Anthony Black	stamina, scoring, perimeter defense	shot blocking
Bobby Portis	three-point shooting	rim protection, shot blocking
Bones Hyland	three-point shooting, free-throw shooting, efficiency	shot blocking, rim protection
Cedric Coward	free-throw shooting	shot blocking, rim protection
CJ McCollum	three-point shooting, free-throw shooting, scoring	shot blocking, rim protection
Clint Capela	strength, finishing, three-point shooting	free-throw shooting, playmaking
Darius Garland	free-throw shooting, playmaking, passing	shot blocking, rim protection
Devin Vassell	three-point shooting, free-throw shooting	shot blocking, rim protection
Duncan Robinson	three-point shooting, efficiency	rim protection, shot blocking
Grant Nelson	efficiency, interior defense, finishing	three-point shooting, steals
Grant Williams	free-throw shooting, efficiency	steals, shot blocking
Haywood Highsmith	efficiency, free-throw shooting, three-point shooting	rim protection, shot blocking
Jabari Smith Jr.	stamina, three-point shooting, free-throw shooting	steals, playmaking
Jalen Smith	efficiency	steals, playmaking
Javon Small	three-point shooting, free-throw shooting, efficiency	shot blocking, rim protection
Jaylon Tyson	three-point shooting, efficiency	shot blocking, rim protection
Jayson Kent	free-throw shooting, efficiency, finishing	three-point shooting, playmaking
Jock Landale	midrange, stamina, finishing	steals, shot blocking
Jonas Valančiūnas	efficiency, finishing	steals, three-point shooting
Jordan Miller	efficiency, finishing	shot blocking, rim protection
Justin Champagnie	finishing, midrange, free-throw shooting	playmaking, passing
Karlo Matković	efficiency, finishing	playmaking, steals
Kyle Filipowski	midrange, stamina, finishing	shot blocking, rim protection
Micah Potter	efficiency, free-throw shooting, three-point shooting	shot blocking, rim protection
Miles McBride	three-point shooting	rim protection, shot blocking
Naji Marshall	midrange	rim protection, shot blocking
Olivier Sarr	efficiency, finishing	free-throw shooting, ball handling
Peyton Watson	three-point shooting	playmaking, passing
Reed Sheppard	three-point shooting, free-throw shooting, perimeter defense	shot blocking
Rocco Zikarsky	free-throw shooting, efficiency, finishing	steals, three-point shooting
Steven Adams	rebounding, strength, stamina	three-point shooting, ball handling
Alondes Williams	efficiency, free-throw shooting, finishing	shot blocking, ball handling
Branden Carlson	finishing, efficiency	steals, free-throw shooting
Cameron Payne	free-throw shooting	shot blocking, rim protection
Chaney Johnson	efficiency, finishing, free-throw shooting	three-point shooting, shot blocking
David Roddy	free-throw shooting, finishing	shot blocking, rim protection
Davion Mitchell	passing, playmaking	rim protection, shot blocking
DeAndre Jordan	efficiency, finishing	three-point shooting, steals
Dereck Lively II	efficiency, finishing, interior defense	three-point shooting, ball handling
Derrick Jones Jr.	stamina, midrange, finishing	playmaking, passing
Dominick Barlow	finishing	three-point shooting, playmaking
Dylan Cardwell	finishing, rim protection, athleticism	free-throw shooting, ball handling
Gui Santos	finishing, efficiency	shot blocking, rim protection
Isaiah Jackson	efficiency, finishing	three-point shooting, playmaking
Isaiah Stevens	free-throw shooting, perimeter defense, steals	rim protection, shot blocking
Javonte Green	free-throw shooting, perimeter defense	shot blocking, rim protection
Jay Huff	rim protection, free-throw shooting, shot blocking	steals, playmaking
Joan Beringer	efficiency, finishing	three-point shooting, steals
Jordan Walsh	efficiency	playmaking, ball handling
Keldon Johnson	efficiency, midrange	rim protection, shot blocking
Kevin Huerter	midrange, finishing, stamina	shot blocking, rim protection
Kyshawn George	three-point shooting, free-throw shooting	shot blocking, rim protection
Luke Kennard	free-throw shooting, efficiency, three-point shooting	rim protection, shot blocking
Moses Moody	three-point shooting	shot blocking, playmaking
Olivier-Maxence Prosper	efficiency, finishing	shot blocking, rim protection
Precious Achiuwa	finishing	three-point shooting, free-throw shooting
Sam Hauser	free-throw shooting, three-point shooting	shot blocking, rim protection
Sam Merrill	three-point shooting, efficiency, free-throw shooting	rim protection, shot blocking
Shaedon Sharpe	scoring	rim protection, shot blocking
Tristan Vukcevic	midrange, free-throw shooting, efficiency	playmaking
Zach Collins	efficiency, finishing, three-point shooting	steals, shot blocking
Baylor Scheierman	free-throw shooting, efficiency	rim protection, shot blocking
Bilal Coulibaly	stamina, steals, perimeter defense	efficiency, basketball IQ
Brandin Podziemski	free-throw shooting	shot blocking, rim protection
Brook Lopez	rim protection, interior defense, stamina	playmaking, passing
Cameron Johnson	three-point shooting, free-throw shooting, efficiency	shot blocking, rim protection
Caris LeVert	perimeter defense, stamina, interior defense	efficiency, rebounding
Colby Jones	finishing	rim protection, shot blocking
Cormac Ryan	free-throw shooting, efficiency, three-point shooting	shot blocking, rim protection
Daniss Jenkins	free-throw shooting	shot blocking, rim protection
Dean Wade	decision-making, midrange, stamina	shot blocking, rim protection
Donte DiVincenzo	three-point shooting	shot blocking, rim protection
Emanuel Miller	midrange, finishing, decision-making	rim protection, shot blocking
Enrique Freeman	efficiency	ball handling, playmaking
Eric Gordon	efficiency, three-point shooting	shot blocking, rim protection
GG Jackson II	midrange, finishing, scoring	steals, playmaking
Harrison Barnes	free-throw shooting, three-point shooting, efficiency	rim protection, shot blocking
Harrison Ingram	efficiency, finishing	rim protection, shot blocking
Isaiah Collier	playmaking, passing	shot blocking, rim protection
Ja'Kobe Walter	three-point shooting, efficiency	rim protection, shot blocking
Jalen Green	stamina, scoring, ball handling	shot blocking, rim protection
Jalen Slawson	perimeter defense, steals	ball handling, basketball IQ
Julian Champagnie	free-throw shooting, three-point shooting, efficiency	shot blocking, rim protection
Kelly Oubre Jr.	stamina, midrange, free-throw shooting	shot blocking, rim protection
Kenrich Williams	three-point shooting, midrange, finishing	shot blocking, rim protection
Keon Ellis	free-throw shooting, finishing	playmaking, ball handling
Kevin Love	free-throw shooting	shot blocking, rim protection
Kyle Anderson	finishing	decision-making, ball handling
Leonard Miller	efficiency, finishing	steals, shot blocking
Maxime Raynaud	finishing, efficiency	steals, shot blocking
Myron Gardner	efficiency, three-point shooting, midrange	shot blocking, rim protection
Orlando Robinson	efficiency, finishing	rim protection, shot blocking
Oscar Tshiebwe	finishing, efficiency	rim protection, shot blocking
Oso Ighodaro	finishing, efficiency	three-point shooting, free-throw shooting
P.J. Washington	stamina, scoring, midrange	playmaking, passing
Pelle Larsson	free-throw shooting	shot blocking, rim protection
Quentin Grimes	free-throw shooting	shot blocking, rim protection
Riley Minix	free-throw shooting, efficiency, finishing	shot blocking, rim protection
Ron Harper Jr.	midrange, free-throw shooting, finishing	playmaking, shot blocking
Simone Fontecchio	free-throw shooting	rim protection, shot blocking
Skal Labissière	efficiency, finishing	shot blocking, free-throw shooting
Tari Eason	stamina, free-throw shooting, three-point shooting	shot blocking, rim protection
Thomas Bryant	efficiency, finishing, free-throw shooting	steals, playmaking
Tim Hardaway Jr.	three-point shooting, efficiency, free-throw shooting	rim protection, shot blocking
Tolu Smith	strength, finishing, interior defense	steals, three-point shooting
Trayce Jackson-Davis	finishing	free-throw shooting, playmaking
Tristan Da Silva	free-throw shooting	shot blocking, rim protection
TyTy Washington Jr.	perimeter defense, midrange, finishing	free-throw shooting, shot blocking
Yves Missi	rim protection	steals, three-point shooting
Aaron Wiggins	stamina, three-point shooting, free-throw shooting	shot blocking, rim protection
Adem Bona	efficiency, finishing	ball handling, steals
Anfernee Simons	free-throw shooting, midrange	rim protection, shot blocking
Antonio Reeves	efficiency	rim protection, shot blocking
Bennedict Mathurin	free-throw shooting	rim protection, shot blocking
Blake Hinson	efficiency, three-point shooting	rim protection, shot blocking
Buddy Hield	three-point shooting, free-throw shooting, midrange	shot blocking, rim protection
Caleb Houstan	free-throw shooting, efficiency	shot blocking, rim protection
Chris Mañon	finishing	efficiency, three-point shooting
Christian Braun	finishing	rim protection, shot blocking
DaQuan Jeffries	free-throw shooting, efficiency, finishing	rim protection, shot blocking
De'Anthony Melton	free-throw shooting, steals	shot blocking, rim protection
Dennis Schröder	free-throw shooting	shot blocking, rim protection
Dillon Brooks	free-throw shooting, scoring	rim protection, shot blocking
Dwight Powell	efficiency, finishing	three-point shooting, shot blocking
Jacob Toppin	efficiency, finishing	steals, three-point shooting
Jake LaRavia	stamina, midrange, steals	shot blocking, rim protection
Jamaree Bouyea	decision-making, midrange, finishing	shot blocking, three-point shooting
Joe Ingles	free-throw shooting, efficiency, finishing	rim protection, shot blocking
Jonathan Kuminga	stamina, scoring, free-throw shooting	shot blocking, rim protection
Jonathan Mogbo	finishing, efficiency	three-point shooting, shot blocking
Jordan McLaughlin	free-throw shooting	shot blocking, rim protection
Jose Alvarado	free-throw shooting	shot blocking, rim protection
Kasparas Jakučionis	free-throw shooting, three-point shooting, efficiency	rim protection, shot blocking
Kelly Olynyk	finishing	rim protection, shot blocking
Keshad Johnson	finishing	three-point shooting, shot blocking
Kevon Looney	strength, decision-making, rebounding	efficiency, three-point shooting
Koby Brea	free-throw shooting, three-point shooting, efficiency	rim protection, shot blocking
Kris Dunn	perimeter defense, steals	shot blocking, rim protection
Kyle Kuzma	stamina, midrange, finishing	shot blocking, rim protection
Landry Shamet	three-point shooting	shot blocking, rim protection
Lonzo Ball	perimeter defense	efficiency, shot blocking
Malachi Smith	free-throw shooting, three-point shooting	rim protection, shot blocking
Malik Monk	free-throw shooting, three-point shooting	shot blocking, rim protection
Mason Plumlee	efficiency, finishing	rim protection, shot blocking
Mouhamed Gueye	midrange, finishing, perimeter defense	playmaking, three-point shooting
Moussa Cisse	finishing	three-point shooting, free-throw shooting
Pat Connaughton	three-point shooting, efficiency, midrange	rim protection, shot blocking
PJ Hall	free-throw shooting	steals, playmaking
Quenton Jackson	free-throw shooting	shot blocking, rim protection
Quinten Post	free-throw shooting, midrange, finishing	steals, shot blocking
Ron Holland	free-throw shooting	shot blocking, rim protection
Ryan Dunn	midrange, finishing, athleticism	shot blocking, free-throw shooting
Scoot Henderson	free-throw shooting	shot blocking, rim protection
Scotty Pippen Jr.	steals, passing, perimeter defense	shot blocking, rim protection
Seth Curry	free-throw shooting, efficiency, three-point shooting	rim protection, shot blocking
Stanley Umude	finishing	rim protection, shot blocking
Thanasis Antetokounmpo	finishing, perimeter defense, midrange	three-point shooting, free-throw shooting
Tidjane Salaün	efficiency, three-point shooting	rim protection, shot blocking
Toumani Camara	three-point shooting, midrange	shot blocking, rim protection
Trendon Watford	finishing	steals, three-point shooting
Trentyn Flowers	efficiency, finishing	rim protection, shot blocking
Tristan Enaruna	finishing	rim protection, shot blocking
Tyler Kolek	decision-making, passing, three-point shooting	shot blocking, rim protection
Vince Williams Jr.	free-throw shooting	efficiency, shot blocking
Vladislav Goldin	free-throw shooting, efficiency, finishing	steals, three-point shooting
Yanic Konan Niederhäuser	efficiency, finishing	steals, three-point shooting
Zach LaVine	free-throw shooting, three-point shooting, scoring	rim protection, shot blocking
Ziaire Williams	free-throw shooting	shot blocking, rim protection
Zyon Pullin	free-throw shooting, efficiency, finishing	rim protection, shot blocking
A.J. Lawson	three-point shooting, free-throw shooting, efficiency	shot blocking, rim protection
Amari Williams	strength, interior defense, finishing	three-point shooting, steals
Anthony Gill	efficiency, finishing	shot blocking, rim protection
Ariel Hukporti	efficiency, finishing	steals, three-point shooting
Asa Newell	finishing, efficiency	free-throw shooting, playmaking
Brice Sensabaugh	free-throw shooting	rim protection, shot blocking
Bruce Brown	stamina, free-throw shooting, three-point shooting	rim protection, shot blocking
Chris Livingston	free-throw shooting, finishing	rim protection, shot blocking
Corey Kispert	three-point shooting, finishing, efficiency	rim protection, shot blocking
Dalen Terry	decision-making, midrange, finishing	three-point shooting, free-throw shooting
Danny Wolf	free-throw shooting, stamina, strength	steals, shot blocking
DaRon Holmes	efficiency	steals, shot blocking
Devin Carter	stamina, midrange, speed	shot blocking, rim protection
Duop Reath	free-throw shooting, efficiency	steals, playmaking
Egor Dëmin	free-throw shooting, three-point shooting	shot blocking, rim protection
Garrison Mathews	efficiency, free-throw shooting	shot blocking, rim protection
Guerschon Yabusele	three-point shooting	shot blocking, rim protection
Hugo González	midrange, finishing, athleticism	shot blocking, rim protection
Jamal Cain	free-throw shooting, efficiency	rim protection, shot blocking
Jamal Shead	passing	shot blocking, rim protection
Jarred Vanderbilt	midrange, finishing, athleticism	shot blocking, rim protection
JD Davison	decision-making, midrange, finishing	efficiency, shot blocking
Jeremiah Fears	stamina, free-throw shooting, scoring	shot blocking, rim protection
Jeremy Sochan	finishing, midrange, athleticism	shot blocking, rim protection
Jericho Sims	efficiency, finishing	steals, shot blocking
Jevon Carter	decision-making, stamina, midrange	rim protection, shot blocking
Jonathan Isaac	strength, midrange, finishing	efficiency, three-point shooting
Josh Green	free-throw shooting, efficiency, three-point shooting	shot blocking, rim protection
Josh Okogie	three-point shooting, perimeter defense, stamina	rim protection, shot blocking
Julian Reese	rebounding	three-point shooting, shot blocking
Justin Edwards	free-throw shooting	rim protection, shot blocking
Keegan Murray	stamina, rim protection, free-throw shooting	efficiency, playmaking
Khaman Maluach	finishing	steals, three-point shooting
Kris Murray	finishing, midrange, stamina	shot blocking, rim protection
Lawson Lovering	finishing, steals, athleticism	three-point shooting, ball handling
Malaki Branham	free-throw shooting	shot blocking, rim protection
Marcus Sasser	free-throw shooting, three-point shooting	rim protection, shot blocking
Marcus Smart	free-throw shooting	shot blocking, rim protection
MarJon Beauchamp	midrange, finishing, scoring	shot blocking, rim protection
Mark Sears	efficiency	rim protection, shot blocking
Max Christie	free-throw shooting, three-point shooting	rim protection, shot blocking
Max Strus	three-point shooting, efficiency	rim protection, shot blocking
Mike Conley	free-throw shooting	shot blocking, rim protection
Mo Bamba	rebounding, finishing	efficiency, steals
Moritz Wagner	free-throw shooting	rim protection, shot blocking
Nae'Qwan Tomlin	finishing	three-point shooting, playmaking
Nicolas Batum	free-throw shooting	shot blocking, rim protection
Noah Penda	strength, perimeter defense, midrange	shot blocking, efficiency
Pat Spencer	free-throw shooting, decision-making, passing	rim protection, shot blocking
Taylor Hendricks	midrange, stamina, athleticism	playmaking, passing
Trey Alexander	three-point shooting, efficiency, finishing	shot blocking, rim protection
Vít Krejčí	three-point shooting, efficiency	shot blocking, rim protection
Wendell Moore Jr.	free-throw shooting, finishing, efficiency	three-point shooting, playmaking
Will Richard	free-throw shooting, finishing	shot blocking, rim protection
Xavier Tillman Sr.	finishing	efficiency, shot blocking
Zaccharie Risacher	stamina, three-point shooting, midrange	playmaking, shot blocking
Aaron Holiday	free-throw shooting	shot blocking, rim protection
Andersson Garcia	stamina, free-throw shooting, athleticism	efficiency, ball handling
Bez Mbeng	steals, finishing, perimeter defense	rim protection, shot blocking
Blake Wesley	midrange, finishing, passing	shot blocking, rim protection
Brandon Clarke	steals, perimeter defense, strength	rim protection, shot blocking
Bub Carrington	three-point shooting	rim protection, shot blocking
Caleb Martin	perimeter defense, decision-making, midrange	shot blocking, rim protection
Cam Whitmore	midrange, free-throw shooting, finishing	shot blocking, playmaking
Carter Bryant	midrange, free-throw shooting, strength	steals, shot blocking
Chris Boucher	midrange, interior defense, perimeter defense	efficiency, three-point shooting
Chris Youngblood	three-point shooting, midrange, finishing	shot blocking, rim protection
Christian Koloko	rim protection, interior defense, shot blocking	efficiency, three-point shooting
Cody Martin	perimeter defense, steals, strength	efficiency, three-point shooting
Cole Anthony	passing, ball handling, playmaking	efficiency, shot blocking
D'Angelo Russell	passing, ball handling, playmaking	rim protection, shot blocking
Dalano Banton	free-throw shooting	efficiency, three-point shooting
DeJon Jarreau	free-throw shooting, midrange, stamina	efficiency, three-point shooting
Dillon Jones	free-throw shooting	rim protection, shot blocking
Drew Eubanks	finishing	three-point shooting, free-throw shooting
Drew Timme	efficiency, finishing	rim protection, shot blocking
E.J. Liddell	free-throw shooting	steals, perimeter defense
Hayden Gray	free-throw shooting, efficiency, finishing	three-point shooting, ball handling
Isaiah Crawford	free-throw shooting, finishing	steals, three-point shooting
Isaiah Livers	free-throw shooting, perimeter defense, strength	efficiency, shot blocking
Jabari Walker	midrange, free-throw shooting, finishing	shot blocking, rim protection
Jalen Pickett	decision-making, free-throw shooting, three-point shooting	shot blocking, rim protection
Jamir Watkins	midrange, finishing, athleticism	shot blocking, playmaking
Jamison Battle	efficiency, finishing	shot blocking, rim protection
Jarace Walker	stamina, three-point shooting, free-throw shooting	shot blocking, rim protection
Jared McCain	free-throw shooting, three-point shooting	rim protection, shot blocking
Jase Richardson	midrange, finishing, efficiency	rim protection, shot blocking
Jaylen Clark	perimeter defense, midrange, finishing	rim protection, shot blocking
Jett Howard	free-throw shooting	shot blocking, rim protection
John Poulakidas	free-throw shooting, three-point shooting, efficiency	shot blocking, rim protection
Johnny Juzang	finishing	shot blocking, rim protection
Josh Oduro	finishing, efficiency	rim protection, shot blocking
Julian Strawther	free-throw shooting	rim protection, shot blocking
Keaton Wallace	decision-making, three-point shooting, passing	shot blocking, rim protection
Kennedy Chandler	playmaking, passing	rim protection, shot blocking
Kentavious Caldwell-Pope	free-throw shooting	rim protection, shot blocking
Keshon Gilbert	free-throw shooting, playmaking, passing	three-point shooting, rebounding
Kevin McCullar Jr.	midrange, perimeter defense, finishing	rim protection, shot blocking
Klay Thompson	three-point shooting	shot blocking, rim protection
Kobe Brown	three-point shooting	shot blocking, rim protection
Lachlan Olbrich	finishing, midrange, strength	efficiency, shot blocking
League Average	finishing, scoring, speed	rim protection, shot blocking
Liam McNeeley	free-throw shooting	shot blocking, rim protection
Luguentz Dort	stamina, free-throw shooting, three-point shooting	shot blocking, rim protection
Luke Travers	free-throw shooting	efficiency, three-point shooting
Malevy Leons	free-throw shooting, finishing, perimeter defense	three-point shooting, efficiency
Mohamed Diawara	free-throw shooting, three-point shooting, midrange	shot blocking, rim protection
